#This file was generated on Thu Mar 22 12:06:55 2018
#Using the somd command, of the molecular library Sire version <2016.3.1> 
#For more information visit: https://github.com/michellab/Sire
#
#General information on simulation parameters:
#Simulation used 1000 moves, 1 cycles and 2 ps of simulation time 
#Generating lambda is		 0.00000
#Alchemical array is		 (0.0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0)
#Generating temperature is 	25 C
#Energy was saved every 100 steps 
#
#
#   [step]      [potential kcal/mol]       [gradient kcal/mol]      [forward Metropolis]     [backward Metropolis]                   [u_kl]
       0           -5.83319155e+03            2.69181915e+02            7.64004260e-01            1.30889323e+00    -2.516522379985735e+02    -2.247347608115503e+02    -1.978172788090566e+02    -1.708997559193255e+02    -1.439822939429635e+02    -1.170647680478427e+02    -9.014728222381697e+01    -6.322978202443256e+01    -3.631228745440685e+01    -9.394795214618281e+00     1.752270829992502e+01
     100           -5.66175306e+03            2.57056676e+02            7.73324384e-01            1.29311841e+00    -2.416377304575454e+02    -2.159324966920418e+02    -1.902272637660205e+02    -1.645219983409157e+02    -1.388167886162283e+02    -1.131115272419682e+02    -8.740628782508102e+01    -6.170104784733369e+01    -3.599580773168416e+01    -1.029057280382689e+01     1.541467384023414e+01
     200           -5.56835868e+03            2.50492795e+02            7.78417088e-01            1.28465833e+00    -2.307012595126843e+02    -2.056504163209458e+02    -1.805995865149362e+02    -1.555487461898516e+02    -1.304979376197469e+02    -1.054470842864619e+02    -8.039624710559664e+01    -5.534541512278174e+01    -3.029458067046857e+01    -5.243752732256878e+00     1.980708595825793e+01
     300           -5.45659359e+03            2.46468959e+02            7.81555622e-01            1.27949947e+00    -2.262261140291439e+02    -2.015797902267257e+02    -1.769335111913092e+02    -1.522871689917334e+02    -1.276408964275881e+02    -1.029945741275829e+02    -7.834825993948711e+01    -5.370194999355676e+01    -2.905563808522923e+01    -4.409336632531960e+00     2.023698020904816e+01
     400           -5.45343047e+03            2.39210956e+02            7.87248790e-01            1.27024647e+00    -2.181049617189088e+02    -1.941875831823496e+02    -1.702702620188678e+02    -1.463529152836513e+02    -1.224355971758783e+02    -9.851827160493860e+01    -7.460091673989108e+01    -5.068358171290657e+01    -2.676624686832608e+01    -2.848915012478615e+00     2.106842482480175e+01
     500           -5.43235514e+03            2.20353770e+02            8.02234941e-01            1.24651763e+00    -2.057064471606048e+02    -1.836694829002884e+02    -1.616325275949267e+02    -1.395955597007829e+02    -1.175586237522355e+02    -9.552163513035643e+01    -7.348467060982678e+01    -5.144770869120607e+01    -2.941073885729761e+01    -7.373782577882816e+00     1.466318732389369e+01
     600           -5.41374547e+03            2.15517595e+02            8.06124086e-01            1.24050381e+00    -1.962337576716993e+02    -1.746818447303891e+02    -1.531299660186435e+02    -1.315780235477140e+02    -1.100261596345903e+02    -8.847423869387272e+01    -6.692234370523039e+01    -4.537044708439714e+01    -2.381854280024760e+01    -2.266647506948969e+00     1.928526063114189e+01
     700           -5.35578450e+03            2.47285476e+02            7.80917728e-01            1.28054463e+00    -2.329175007882772e+02    -2.081914005130397e+02    -1.834653285453916e+02    -1.587392425419629e+02    -1.340131729095651e+02    -1.092870942158214e+02    -8.456100477622591e+01    -5.983493385736710e+01    -3.510885760857557e+01    -1.038279055845680e+01     1.434329362534628e+01
     800           -5.30464854e+03            2.20229471e+02            8.02334664e-01            1.24636270e+00    -2.040308736362422e+02    -1.820052772791130e+02    -1.599796854595836e+02    -1.379540788350924e+02    -1.159284927603529e+02    -9.390286417661031e+01    -7.187725410238062e+01    -4.985164978937728e+01    -2.782604250712110e+01    -5.800445595612416e+00     1.622516808274149e+01
     900           -5.29057201e+03            2.24421125e+02            7.98978594e-01            1.25159799e+00    -2.120311075725096e+02    -1.895895414223274e+02    -1.671480330475998e+02    -1.447064617637367e+02    -1.222649267846631e+02    -9.982337107165539e+01    -7.738181451644165e+01    -5.494027101769871e+01    -3.249871682710960e+01    -1.005716925057201e+01     1.238438350741805e+01
